id,letter,word,type,etymology,definition,added_at
_0037,_,ARYANISATION,nom féminin,Étymologie : xxe siècle. Dérivé d’aryen.,"Marque de domaine : histoire.
Ensemble des mesures visant, dans l’Allemagne nationale-socialiste, les pays qu’elle occupait et certains de ceux avec lesquels elle était alliée, à évincer les Juifs de la vie économique, en confisquant leurs biens et en les cédant à ceux que les nazis considéraient comme des Aryens.",2026-06-04T05:39:38.893Z
_0090,_,COURRIEL,nom masculin,"Étymologie : xxe siècle. Mot du français du Québec, composé à l’aide de courrier et d’électronique.","■ 
Document numérique qu’un utilisateur saisit, envoie ou consulte par l’intermédiaire d’un ordinateur, d’un téléphone, etc. connecté à un réseau (on dit aussi Message électronique).
Recevoir des courriels professionnels, personnels.
▪ Par extension.
Service permettant de saisir, d’envoyer ou de consulter un tel document (on dit aussi Messagerie électronique ou Courrier électronique).
Envoyer un curriculum vitae par courriel.

RemarqueOn préfèrera ce mot à l’anglicisme E-mail ou Mail.",2026-06-04T05:39:40.159Z
_0157,_,AUDIOPHONE,nom masculin,"Étymologie : xixe siècle, audiphone, puis audiophone. Composé d’audio‑ et de ‑phone, tiré du grec phônê, « son, voix ».","Appareil que l’on adapte à l’oreille, destiné à amplifier les sons pour compenser les pertes d’audition.",2026-06-04T05:39:41.566Z
_0166,_,ESSUIE-TOUT,nom masculin invariable,"Étymologie : xxe siècle. Composé d’essuie, forme conjuguée d’essuyer, et du pronom indéfini tout.","Papier à usage domestique, épais et absorbant, qui se présente en rouleau (on dit aussi Sopalin).",2026-06-04T05:39:41.766Z
A0001,A,A,nom masculin invariable,,"1. 
Première lettre et première voyelle de l’alphabet français, s’écrivant a en minuscule, A en majuscule.
La lettre A, le a.
Le mot « abracadabra » comporte cinq a.
Un a accent grave (à), qui porte un accent grave.
Un a accent circonflexe ou, elliptiquement, un a circonflexe (â), qui porte un accent circonflexe.
▪ Expr. fig.
Ne savoir ni A ni B, ne pas savoir lire et, par extension, ignorer jusqu’aux rudiments d’une science, d’un art.
Le B-A, BA, les premiers éléments nécessaires à la connaissance d’une discipline, à la pratique d’une activité.
C’est le B-A, BA de la politique.
De A à Z, du commencement à la fin.
Il a récité son poème de A à Z sans la moindre erreur.

▪ En composition.
ABC, voir ce mot.


2. 
Marque de domaine : phonétique.
La lettre A sert à noter une voyelle antérieure, comme dans sac, patte, là, ou postérieure, comme dans tas ou pâte ; dans ce second cas, sa prononciation est plus longue et plus grave.
▪ Associée à d’autres lettres, la lettre A peut servir à noter différents phonèmes vocaliques : le e ouvert  [ɛ] comme dans laine, j’allais ou gamay, le e fermé  [e] comme dans j’allai, j’irai ou nævus, le o ouvert  [ɔ] comme dans centaure, le o fermé  [o] comme dans peau, la nasale  [ɑ̃] comme dans danser ou chambre, et la nasale  [ɛ̃] comme dans maintenir ou faim.


3. 
Emplois conventionnels.
A désigne ce qui est classé premier dans une série, une succession.
L’équipe A.
L’escalier A.
Le bâtiment A.
Il a eu la note A à son devoir de français.
▪ La lettre A, majuscule ou minuscule, sert aussi de symbole ou d’abréviation.
Marque de domaine : mathématiques.
En algèbre, a désigne une quantité donnée.
a + b.
Expr. fig.
Prouver, démontrer par a + b, avec une grande rigueur.
En géométrie, A désigne un point de l’espace.
La droite (AB).
Le triangle ABC.
– Marque de domaine : physique.
A, symbole de l’ampère.

– Marque de domaine : biologie.
A désigne un groupe sanguin et une vitamine.
A est aussi le symbole de l’adénine.

– Marque de domaine : imprimerie.
A suivi d’un chiffre sert à indiquer les dimensions d’une feuille de papier suivant une norme internationale.
Une feuille de format A4, A3.

– Marque de domaine : mesures.
a, abréviation d’Are.

– Marque de domaine : armes.
Bombe A, abréviation de Bombe atomique.
Les bombes A furent les premières bombes nucléaires.",2026-06-04T03:46:27.814Z
A0002,A,A-,préfixe,"Étymologie : Issu du préverbe latin ad‑, exprimant un mouvement vers quelque chose, quelqu’un, ou le commencement d’une action.","■ 
Préfixe qui indique un mouvement dans une direction, vers un lieu donnés, comme dans abaisser, aliter, ou le passage d’un état à un autre, comme dans amoindrir, apeurer.
▪ A‑ peut aussi avoir une valeur inchoative, comme dans apercevoir.

RemarqueDans certains mots formés au moyen du préfixe a‑, comme affaiblir, allonger, assainir, attendrir, la première lettre du radical se redouble.",2026-06-04T03:54:25.259Z
A0003,A,A-,préfixe,"Étymologie : Emprunté du préfixe grec a‑, de même sens.","■ 
Préfixe exprimant l’idée d’absence, de privation, souvent dit a- privatif, qu’on trouve par exemple dans amoral, asocial, apesanteur.
(Devant une voyelle ou un h muet, a‑ devient an‑, comme dans anaérobie, anhydre.)",2026-06-04T03:59:08.123Z
A0007,A,ABAISSE-LANGUE,nom masculin,"Étymologie : xixe siècle. Composé d’abaisse, forme conjuguée d’abaisser, et de langue.","Marque de domaine : médecine.
Petite palette utilisée pour maintenir la langue d’un patient baissée lors de l’examen de sa bouche ou de sa gorge.",2026-06-04T03:59:08.250Z
A0008,A,ABAISSEMENT,nom masculin,Étymologie : xiie siècle. Dérivé d’abaisser.,"1. 
Action de faire descendre quelque chose, de le tirer vers le bas, ou de placer une chose à un niveau inférieur ; résultat de cette action.
L’abaissement d’un rideau métallique, d’un levier.

2. 
Action de diminuer la hauteur, l’importance, la valeur d’une chose ; le fait que la hauteur, l’importance, la valeur d’une chose diminue ; l’état qui en résulte (dans ces deux derniers sens, on dit aussi Baisse).
L’abaissement du mur nous permettra de jouir du paysage.
L’abaissement de la colonne de mercure dans un baromètre.
On prévoit un abaissement sensible de la température au cours de la semaine.
Constater l’abaissement du niveau de vie.

3. 
Dans la langue soutenue.
Action de diminuer la puissance, l’autorité, la dignité d’une personne, d’une entité ; résultat de cette action.
Louis XI travailla à l’abaissement de la maison de Bourgogne.
Il se révolte contre un si grand abaissement.

4. 
Le fait de s’humilier volontairement ; l’état qui en résulte.
Se tenir dans l’abaissement devant Dieu.

5. 
Avilissement, déchéance morale.
L’abaissement des mœurs.
D’abaissement en abaissement, il perdra tout sens de l’honneur.",2026-06-04T03:59:08.305Z
A0009,A,ABAISSER,verbe transitif direct et verbe pronominal,"Étymologie : xiie siècle. Dérivé de baisser, avec le préfixe a- [i].","1. 
Faire descendre quelque chose, le tirer vers le bas ; placer une chose à un niveau inférieur.
Abaisser un store.
En cas de danger, abaissez la manette.
Abaisser la barre dans une épreuve de saut en hauteur.
▪ Spécialement. Marque de domaine : arithmétique.
Abaisser un chiffre, à chaque étape d’une division posée, écrire au niveau de la différence que l’on vient d’obtenir le chiffre suivant du dividende.
– Marque de domaine : géométrie.
Abaisser une perpendiculaire, tracer une perpendiculaire à une droite ou à un plan passant par un point extérieur à cette droite ou à ce plan.

– Marque de domaine : équitation.
Abaisser les hanches d’un cheval, durant certains exercices de manège, lui faire plier les postérieurs pour qu’il ait la croupe plus basse que les épaules (on dit aussi Asseoir un cheval, Asseoir un cheval sur les hanches et, parfois, Rabaisser les hanches d’un cheval).


▪ Par extension.
Incliner quelque chose en le dirigeant vers le bas.
Abaisser son fusil par prudence.
Il abaissa son regard sur la vallée.


2. 
Diminuer la hauteur, l’importance, la valeur d’une chose.
Abaisser une arche.
Abaisser une note d’un demi-ton.
Abaisser les prix.
L’âge limite d’admission à cette école a été abaissé à trente ans.
▪ Spécialement. Marque de domaine : cuisine.
Amincir une pâte à tarte au moyen d’un rouleau à pâtisserie.
– Marque de domaine : algèbre.
Abaisser le degré d’une équation, d’un polynôme, les réduire à un degré inférieur.



3. 
Dans la langue soutenue.
Diminuer la puissance, l’autorité, la dignité d’une personne, d’une entité.
Richelieu s’est employé à abaisser les grands.
Chercher à abaisser ses rivaux.
La guerre civile a contribué à abaisser cet État.
Par allusion à l’Évangile.
Quiconque s’élève sera abaissé.

4. 
En parlant d’une action, d’une conduite.
Avilir, déshonorer quelqu’un.
Une telle démarche vous abaisserait.
Ces méthodes abaissent ceux qui y recourent.",2026-06-04T03:59:08.483Z
